month,urate,vrate,t
1-Dec-00,3.8,4,1
1-Jan-01,4.1,4.1,2
1-Feb-01,4.1,3.7,3
1-Mar-01,4.1,3.7,4
1-Apr-01,4.2,3.6,5
1-May-01,4.3,3.5,6
1-Jun-01,4.4,3.3,7
1-Jul-01,4.5,3.3,8
1-Aug-01,4.8,3.2,9
1-Sep-01,5,3.2,10
1-Oct-01,5.3,2.8,11
1-Nov-01,5.5,2.8,12
1-Dec-01,5.8,2.8,13
1-Jan-02,5.8,2.8,14
1-Feb-02,5.9,2.6,15
1-Mar-02,5.8,2.8,16
1-Apr-02,6.1,2.7,17
1-May-02,5.9,2.7,18
1-Jun-02,5.9,2.6,19
1-Jul-02,5.9,2.7,20
1-Aug-02,5.8,2.7,21
1-Sep-02,5.7,2.6,22
1-Oct-02,5.8,2.8,23
1-Nov-02,6,2.8,24
1-Dec-02,6.1,2.4,25
1-Jan-03,6,2.9,26
1-Feb-03,6,2.7,27
1-Mar-03,6,2.4,28
1-Apr-03,6.2,2.5,29
1-May-03,6.2,2.5,30
1-Jun-03,6.4,2.5,31
1-Jul-03,6.3,2.5,32
1-Aug-03,6.2,2.6,33
1-Sep-03,6.1,2.5,34
1-Oct-03,6.1,2.5,35
1-Nov-03,6,2.7,36
1-Dec-03,5.8,2.6,37
1-Jan-04,5.7,2.7,38
1-Feb-04,5.6,2.8,39
1-Mar-04,5.8,2.7,40
1-Apr-04,5.6,2.8,41
1-May-04,5.7,2.9,42
1-Jun-04,5.6,2.7,43
1-Jul-04,5.6,3.1,44
1-Aug-04,5.4,2.9,45
1-Sep-04,5.5,3,46
1-Oct-04,5.4,3,47
1-Nov-04,5.4,2.7,48
1-Dec-04,5.4,3,49
1-Jan-05,5.2,2.9,50
1-Feb-05,5.4,3,51
1-Mar-05,5.1,3.1,52
1-Apr-05,5.1,3.2,53
1-May-05,5,3.1,54
1-Jun-05,5,3.2,55
1-Jul-05,4.9,3.2,56
1-Aug-05,4.9,3.2,57
1-Sep-05,5,3.3,58
1-Oct-05,4.9,3.3,59
1-Nov-05,4.9,3.5,60
1-Dec-05,4.7,3.3,61
1-Jan-06,4.7,3.3,62
1-Feb-06,4.7,3.3,63
1-Mar-06,4.6,3.4,64
1-Apr-06,4.7,3.4,65
1-May-06,4.5,3.4,66
1-Jun-06,4.5,3.3,67
1-Jul-06,4.6,3,68
1-Aug-06,4.6,3.4,69
1-Sep-06,4.4,3.4,70
1-Oct-06,4.3,3.4,71
1-Nov-06,4.4,3.6,72
1-Dec-06,4.4,3.5,73
1-Jan-07,4.6,3.5,74
1-Feb-07,4.4,3.4,75
1-Mar-07,4.4,3.6,76
1-Apr-07,4.4,3.4,77
1-May-07,4.3,3.4,78
1-Jun-07,4.5,3.6,79
1-Jul-07,4.6,3.3,80
1-Aug-07,4.6,3.4,81
1-Sep-07,4.7,3.4,82
1-Oct-07,4.7,3.2,83
1-Nov-07,4.6,3.3,84
1-Dec-07,4.9,3.2,85
1-Jan-08,4.9,3.2,86
1-Feb-08,4.8,3,87
1-Mar-08,5,3,88
1-Apr-08,5,3,89
1-May-08,5.4,3,90
1-Jun-08,5.6,2.8,91
1-Jul-08,5.8,2.8,92
1-Aug-08,6.3,2.8,93
1-Sep-08,6.2,2.4,94
1-Oct-08,6.7,2.6,95
1-Nov-08,7,2.4,96
1-Dec-08,7.6,2.4,97
1-Jan-09,8.2,2.1,98
1-Feb-09,8.9,2.2,99
1-Mar-09,9.4,2,100
1-Apr-09,9.6,1.8,101
1-May-09,10.1,1.9,102
1-Jun-09,10.3,1.9,103
1-Jul-09,10.2,1.7,104
1-Aug-09,10.5,1.8,105
1-Sep-09,10.6,2,106
1-Oct-09,10.9,1.8,107
1-Nov-09,10.8,1.9,108
1-Dec-09,10.8,1.9,109
1-Jan-10,10.6,2.1,110
1-Feb-10,10.6,2,111
1-Mar-10,10.6,2.1,112
1-Apr-10,10.6,2.3,113
1-May-10,10.3,2.3,114
1-Jun-10,10.1,2.1,115
1-Jul-10,10.2,2.4,116
1-Aug-10,10.3,2.4,117
1-Sep-10,10.3,2.2,118
1-Oct-10,10.3,2.4,119
1-Nov-10,10.7,2.5,120
1-Dec-10,10.2,2.3,121
1-Jan-11,9.7,2.3,122
1-Feb-11,9.5,2.4,123
1-Mar-11,9.5,2.6,124
1-Apr-11,9.6,2.4,125
1-May-11,9.7,2.5,126
1-Jun-11,9.7,2.6,127
1-Jul-11,9.8,2.7,128
1-Aug-11,9.7,2.5,129
1-Sep-11,9.8,2.7,130
1-Oct-11,9.5,2.7,131
1-Nov-11,9.2,2.6,132
1-Dec-11,9,2.8,133
1-Jan-12,8.8,2.7,134
1-Feb-12,8.8,2.7,135
